date,Conv. Rate,Campaign ID,Campaign name,Campaign Type,Bid strategy,Adgroup name,Adgroup ID,Ad ID,Ad name,Ad type,Final URL,Mobile final URL,Final URL suffix,Device preference,Tracking template,Ad strength,Custom parameter,Video,Campaign group,Ad image URL,Impressions,Clicks,Avg. CPC,CTR,All conv.,Cost / all conv.,All conv. Rate,All conv. Value,Conversions,Conv. Value,Cost / conv.,Views,Avg. CPV,View rate,Cost
04/12/2023,16.67%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.69993E+11,,15,https://www.polymersearch.com/,,,0,,6,,,,,215,12,$1.18,5.58%,4,$3.54,33.33%,0,2,0,$7.08,0,,,$14.15
17/11/2023,16.67%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,212,6,$1.84,2.83%,2,$5.51,33.33%,0,1,0,$11.02,0,,,$11.02
08/12/2023,,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.69993E+11,,15,https://www.polymersearch.com/,,,0,,6,,,,,211,3,$2.24,1.42%,0,,0,0,0,0,,0,,,$6.71
13/11/2023,,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,208,1,$1.3,0.48%,0,,0,0,0,0,,0,,,$1.3
20/11/2023,,19709051514,Display - US,DISPLAY,MAXIMIZE_CONVERSIONS,Ecommerce,1.55448E+11,6.80634E+11,,19,https://www.polymersearch.com/landers/7-reasons-why-ecommerce-business-owners-marketers-are-switching-to-polymer,,,0,,5,,,,,206,7,$0.62,3.40%,0,,0,0,0,0,,0,,,$4.37
21/11/2023,,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,205,5,$0.91,2.44%,0,,0,0,0,0,,0,,,$4.53
29/11/2023,50.00%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,202,4,$1.41,1.98%,3,$1.88,75.00%,0,2,0,$2.83,0,,,$5.65
03/12/2023,11.11%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.69993E+11,,15,https://www.polymersearch.com/,,,0,,6,,,,,202,9,$0.84,4.46%,1,$7.52,11.11%,0,1,0,$7.52,0,,,$7.52
05/12/2023,12.50%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,198,8,$1.02,4.04%,1,$8.19,12.50%,0,1,0,$8.19,0,,,$8.19
16/11/2023,33.33%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,197,3,$1.14,1.52%,1,$3.42,33.33%,0,1,0,$3.42,0,,,$3.42
25/11/2023,,19709051514,Display - US,DISPLAY,MAXIMIZE_CONVERSIONS,Ecommerce,1.55448E+11,6.80634E+11,,19,https://www.polymersearch.com/landers/7-reasons-why-ecommerce-business-owners-marketers-are-switching-to-polymer,,,0,,5,,,,,197,4,$1.35,2.03%,0,,0,0,0,0,,0,,,$5.4
11/12/2023,,20736107960,YouTube: Conversions - Ecommerce - US,VIDEO,MAXIMIZE_CONVERSIONS,Custom Segment: Ecommerce,1.55177E+11,6.79729E+11,v3-video-teaser-9.16,30,https://www.polymersearch.com/,,,0,,0,,,,,191,2,$0.78,1.05%,0,,0,0,0,0,,3,$0.52,1.57%,$1.55
06/12/2023,35.71%,20363812466,Search - NonBrand - Top Performers - Global - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Spreadsheet Data Visualization,1.53725E+11,6.65463E+11,,15,https://www.polymersearch.com/landers/spreadsheets-to-dashboard,,,0,,6,,,,,190,14,$4.22,7.37%,15,$3.94,107.14%,0,5,0,$11.81,0,,,$59.07
22/11/2023,33.33%,20144599628,Search - NonBrand - Business Intelligence - EU - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Dashboarding Tools,1.50814E+11,6.58765E+11,,15,https://www.polymersearch.com/,,,0,,5,,,,,187,6,$1.78,3.21%,2,$5.33,33.33%,0,2,0,$5.33,0,,,$10.66
05/12/2023,50.00%,20363812466,Search - NonBrand - Top Performers - Global - [Exact],SEARCH,MAXIMIZE_CONVERSIONS,Spreadsheet Data Visualization,1.53725E+11,6.65463E+11,,15,https://www.polymersearch.com/landers/spreadsheets-to-dashboard,,,0,,6,,,,,187,16,$3.9,8.56%,16,$3.9,100.00%,0,8,0,$7.81,0,,,$62.46
